episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.40050342199992883,True,False
2,410.0,698,1083,0.4,0.09192054447097082,1.4905784160000621,True,False
3,890.0,820,1903,0.4,0.028801955840913804,6.4745449020001615,True,False
4,390.0,552,2455,0.4,0.03075714683243701,9.938323891999971,True,False
5,560.0,571,3026,0.4,0.030116968846007192,13.863492290999602,True,False
6,500.0,504,3530,0.4,0.03280839788018807,16.95483532599974,True,False
7,730.0,636,4166,0.4,0.036287416108011165,20.866846076,True,False
8,270.0,415,4581,0.4,0.036771153773700535,23.51338724299967,True,False
9,330.0,383,4964,0.4,0.034011455229726074,25.928174556000158,True,False
10,1130.0,834,5798,0.4,0.04227592959628405,31.02768502300023,True,False
11,410.0,547,6345,0.4,0.04088346595556414,34.44306217600024,True,False
12,900.0,673,7018,0.4,0.0445108150057162,38.58731568999974,True,False
13,450.0,622,7640,0.4,0.04005046205696626,42.45194900200022,True,False
14,460.0,588,8228,0.4,0.03928211402325403,46.08503463099987,True,False
15,240.0,418,8646,0.4,0.042456848036426194,48.66251641300005,True,False
16,1600.0,1121,9767,0.4,0.043064568276583615,55.49483995999981,True,False
17,270.0,388,10155,0.4,0.04595981602624212,57.92509185200015,True,False
18,540.0,600,10755,0.4,0.040612729503773155,61.64074059499944,True,False
19,250.0,431,11186,0.4,0.04064709816507443,64.3629348659997,True,False
20,590.0,607,11793,0.4,0.04912750052876378,68.13118342599955,True,False
21,340.0,459,12252,0.4,0.044553755241972595,70.99420563799958,True,False
22,250.0,317,12569,0.4,0.040630374705018124,72.99138989999938,True,False
23,700.0,863,13432,0.4,0.04623443707478819,78.3123732009999,True,False
24,1080.0,794,14226,0.4,0.04402110118752891,83.23313221099943,True,False
25,410.0,506,14732,0.4,0.038620440877871365,86.38969494199955,True,False
26,390.0,827,15559,0.4,0.048208856030629535,93.04284083199946,True,False
27,660.0,822,16381,0.4,0.043518139402047525,98.14874502899966,True,False
28,820.0,612,16993,0.4,0.04312316182197309,101.97792743399987,True,False
29,640.0,672,17665,0.4,0.043763403387163724,106.18912180299958,True,False
30,450.0,529,18194,0.4,0.047890659710956796,109.51917469199998,True,False
31,230.0,398,18592,0.4,0.050985162407159806,112.0652787959998,True,False
32,200.0,391,18983,0.4,0.050570475239997977,114.5256197259996,True,False
33,380.0,574,19557,0.4,0.04783161369010082,118.11393467800008,True,False
34,470.0,453,20010,0.4,0.03778077953544536,120.95985495100012,True,False
35,670.0,608,20618,0.4,0.046167462148188954,124.7211787010001,True,False
36,240.0,465,21083,0.4,0.049490474288929893,127.60799451099956,True,False
37,370.0,526,21609,0.4,0.049382796683913155,130.9002889129997,True,False
38,690.0,724,22333,0.4,0.05863202992152649,135.36386961399967,True,False
39,410.0,552,22885,0.4,0.04753149312286489,138.78597434699986,True,False
40,260.0,451,23336,0.4,0.06017542969171716,141.6189191809999,True,False
41,440.0,504,23840,0.4,0.06239922075635857,144.7610564939996,True,False
42,560.0,568,24408,0.4,0.068352264407891,148.2499819929999,True,False
43,500.0,540,24948,0.4,0.061809890137778385,151.57799801199963,True,False
44,190.0,416,25364,0.4,0.06477163096692842,154.21418447999986,True,False
45,930.0,777,26141,0.4,0.060417204639231115,158.93088781400002,True,False
46,460.0,456,26597,0.4,0.06751273405787192,161.7864231859994,True,False
47,280.0,341,26938,0.4,0.057337070294820214,163.95273295599964,True,False
48,230.0,351,27289,0.4,0.07295167935080826,166.14960864400018,True,False
49,130.0,298,27587,0.4,0.060199187779043976,168.02704334400005,True,False
50,510.0,803,28390,0.4,0.06464942293102617,172.9466881039998,True,False
51,260.0,397,28787,0.4,0.06478256071833047,177.37637726699995,True,False
52,670.0,636,29423,0.4,0.06111356065280548,181.2879804969998,True,False
53,130.0,272,29695,0.4,0.06855449035270687,183.00618428799953,True,False
54,740.0,591,30286,0.4,0.07403929098005835,186.7162795309996,True,False
55,700.0,830,31116,0.4,0.07237832254031673,191.80561458899956,True,False
56,450.0,494,31610,0.4,0.07415723992223905,194.82557472000008,True,False
57,290.0,457,32067,0.4,0.06877057503075584,197.69873653099967,True,False
58,380.0,501,32568,0.4,0.06716795979503778,200.82010848499976,True,False
59,670.0,728,33296,0.4,0.0671439427462826,205.29395307599953,True,False
60,760.0,745,34041,0.4,0.06946181945542815,209.89279048800017,True,False
61,330.0,415,34456,0.4,0.07190894294315232,212.49853808700027,True,False
62,430.0,420,34876,0.4,0.06609467166431603,215.16460032299983,True,False
63,290.0,508,35384,0.4,0.06841460480464726,218.30674258599993,True,False
64,310.0,457,35841,0.4,0.07620513026618905,221.17321803699997,True,False
65,1200.0,771,36612,0.4,0.0853063791454649,225.9509915869994,True,False
66,490.0,544,37156,0.4,0.07631882315378308,229.33637499199995,True,False
67,430.0,596,37752,0.4,0.06930505689358551,233.0143826879994,True,False
68,480.0,592,38344,0.4,0.06799709598370199,236.67790981500002,True,False
69,750.0,661,39005,0.4,0.0730574484688766,240.7817605909995,True,False
70,760.0,869,39874,0.4,0.08103383768324135,246.00134579899986,True,False
71,390.0,395,40269,0.4,0.057814659419083834,248.44758801999978,True,False
72,250.0,393,40662,0.4,0.07355964646617673,250.89807096099958,True,False
73,370.0,420,41082,0.4,0.08780788283440329,253.48211221200017,True,False
74,1100.0,725,41807,0.4,0.08453406399702498,257.8253058809996,True,False
75,190.0,312,42119,0.4,0.0787819339057956,259.79641400499986,True,False
76,330.0,433,42552,0.4,0.07137552089989185,263.852832734,True,False
77,830.0,829,43381,0.4,0.08720354468602201,268.8305249499999,True,False
78,330.0,447,43828,0.4,0.07224129221452001,271.6080058480002,True,False
79,300.0,357,44185,0.4,0.09235952065190238,273.8357522039996,True,False
80,320.0,452,44637,0.4,0.09576119403396033,276.657269798,True,False
81,310.0,474,45111,0.4,0.09508202060015272,279.5923015449998,True,False
82,530.0,567,45678,0.4,0.08925712530002733,283.12008230099946,True,False
83,420.0,530,46208,0.4,0.09021843530419738,286.44541872099944,True,False
84,370.0,469,46677,0.4,0.09811958269431041,289.34948686999996,True,False
85,530.0,718,47395,0.4,0.08503248973869246,293.76042202499957,True,False
86,310.0,459,47854,0.4,0.08266760103566491,296.6062259379996,True,False
87,300.0,466,48320,0.4,0.09849613779980658,299.49268463799945,True,False
88,460.0,563,48883,0.4,0.08418900957331062,302.95396306899966,True,False
89,520.0,619,49502,0.4,0.09937593654519128,306.7391312569998,True,False
90,820.0,657,50159,0.4,0.11109780843892111,310.72294246099955,True,False
91,200.0,476,50635,0.4,0.08052932805999988,313.6517438390001,True,False
92,500.0,601,51236,0.4,0.07875790819834104,317.3290481949998,True,False
93,400.0,624,51860,0.4,0.0841255569890237,321.12495037200006,True,False
94,360.0,463,52323,0.4,0.0840534948784372,323.97484793500007,True,False
95,440.0,500,52823,0.4,0.09829477495700122,327.05608500200015,True,False
96,1130.0,735,53558,0.4,0.07678018306614831,331.54409757099984,True,False
97,360.0,471,54029,0.4,0.09334651901686596,334.46197920899976,True,False
98,980.0,704,54733,0.4,0.09635924484146843,338.751398892,True,False
99,740.0,647,55380,0.4,0.10319384359352199,342.73217594699963,True,False
100,350.0,427,55807,0.4,0.09349058676985497,345.39656510199984,True,False
