episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3876798090000193,True,False
2,370.0,700,1085,0.2,0.0905668759951368,1.8132031410000309,True,False
3,740.0,686,1771,0.2,0.028307071484609002,6.632783630000176,True,False
4,470.0,502,2273,0.2,0.028379577002996238,9.753411610000057,True,False
5,270.0,357,2630,0.2,0.0355190610581109,12.018704978000187,True,False
6,550.0,510,3140,0.2,0.036341100329309484,15.200890285000241,True,False
7,460.0,500,3640,0.2,0.03696316117420793,18.681797535999976,True,False
8,430.0,567,4207,0.2,0.03963749523684118,22.135080248000122,True,False
9,410.0,567,4774,0.2,0.03686435075811255,25.675226106000082,True,False
10,860.0,660,5434,0.2,0.0401425891753399,30.226077149000048,True,False
11,360.0,577,6011,0.2,0.0381977407814702,33.895868539000276,True,False
12,480.0,553,6564,0.2,0.0392622899669457,37.627466737000304,True,False
13,490.0,538,7102,0.2,0.0412280059735805,40.91049183799987,True,False
14,900.0,628,7730,0.2,0.03934793421482537,44.71441089200016,True,False
15,120.0,246,7976,0.2,0.04142656696644882,46.29206788600004,True,False
16,220.0,327,8303,0.2,0.0465178114755861,48.349194614000226,True,False
17,1870.0,956,9259,0.2,0.040146650215045834,54.12457899099991,True,False
18,690.0,724,9983,0.2,0.045994719500699756,58.47934109400012,True,False
19,540.0,527,10510,0.2,0.04166728136778781,61.752982156000144,True,False
20,350.0,445,10955,0.2,0.047651091850622815,64.48602570799994,True,False
21,1120.0,757,11712,0.2,0.04920554377971903,69.10512712700029,True,False
22,1860.0,1255,12967,0.2,0.051372886550562165,76.68459289500015,True,False
23,680.0,573,13540,0.2,0.04708004470254915,80.20171448400015,True,False
24,270.0,374,13914,0.2,0.049032500073794394,82.48470983000016,True,False
25,610.0,514,14428,0.2,0.0519763128046856,85.66480605700008,True,False
26,420.0,549,14977,0.2,0.04679938440761753,90.67752884499987,True,False
27,1290.0,658,15635,0.2,0.050050767609940434,94.8153318499999,True,False
28,330.0,438,16073,0.2,0.050201539968309755,97.53927964200011,True,False
29,300.0,416,16489,0.2,0.05338595455619865,100.15784239999994,True,False
30,440.0,497,16986,0.2,0.05020619601371788,103.26684822100015,True,False
31,410.0,526,17512,0.2,0.06522136168540314,106.55378424199989,True,False
32,700.0,509,18021,0.2,0.05401094558678098,109.74545548900005,True,False
33,400.0,526,18547,0.2,0.057778519937299364,112.98269790299992,True,False
34,390.0,481,19028,0.2,0.06506968298080293,115.96690279099994,True,False
35,190.0,328,19356,0.2,0.06255008493232109,118.0360772590002,True,False
36,830.0,683,20039,0.2,0.0578575815046754,122.1844281130002,True,False
37,330.0,446,20485,0.2,0.05878026312607939,124.9959121400002,True,False
38,530.0,536,21021,0.2,0.055199482120267714,128.42866752400005,True,False
39,330.0,462,21483,0.2,0.0609955921040281,131.34282269599998,True,False
40,520.0,445,21928,0.2,0.058148624491877854,134.20609796999997,True,False
41,600.0,596,22524,0.2,0.059515670891976194,137.94169587700026,True,False
42,590.0,628,23152,0.2,0.05767375455315041,141.86012355399998,True,False
43,660.0,610,23762,0.2,0.05474920911518367,145.60214085100006,True,False
44,630.0,644,24406,0.2,0.057417455829263477,149.5831444549999,True,False
45,600.0,639,25045,0.2,0.06810564848710783,153.52711536000015,True,False
46,1230.0,646,25691,0.2,0.06143184167026363,157.5334082530003,True,False
47,1300.0,1037,26728,0.2,0.0610868042263274,163.9027180369999,True,False
48,350.0,409,27137,0.2,0.056271992518803944,166.48347788699994,True,False
49,690.0,736,27873,0.2,0.06697101142692743,171.0287192200003,True,False
50,1230.0,995,28868,0.2,0.06042189736397989,177.1696122960002,True,False
51,580.0,655,29523,0.2,0.05978192430720922,182.68146199900002,True,False
52,2100.0,672,30195,0.2,0.05739547283710202,186.80724051200013,True,False
53,610.0,656,30851,0.2,0.0578156801326791,190.83108348199994,True,False
54,400.0,515,31366,0.2,0.056420083890503,194.05334585900027,True,False
55,300.0,454,31820,0.2,0.052188727428744495,196.94529969699988,True,False
56,990.0,764,32584,0.2,0.06529401267113173,201.70144196299998,True,False
57,380.0,453,33037,0.2,0.05209613477695832,204.57692772100017,True,False
58,460.0,461,33498,0.2,0.05564187942072749,207.44306343000017,True,False
59,710.0,758,34256,0.2,0.06383792139638804,212.15596097800017,True,False
60,330.0,477,34733,0.2,0.07271375089195095,215.1751078780003,True,False
61,860.0,863,35596,0.2,0.0725823743355081,220.465767272,True,False
62,540.0,550,36146,0.2,0.08184068898813132,223.89439613700006,True,False
63,1160.0,742,36888,0.2,0.07227764082872258,228.49832005200005,True,False
64,500.0,551,37439,0.2,0.06367852525907929,231.90460539900005,True,False
65,560.0,549,37988,0.2,0.07068673923841097,235.33563680399993,True,False
66,650.0,582,38570,0.2,0.06927430015699616,238.96655388699992,True,False
67,320.0,518,39088,0.2,0.07394738995398466,242.20004690399992,True,False
68,340.0,468,39556,0.2,0.06934972057262292,245.1240387590001,True,False
69,400.0,517,40073,0.2,0.06705099000241752,248.38757517400018,True,False
70,2160.0,947,41020,0.2,0.07754445932648353,254.14381276099994,True,False
71,740.0,685,41705,0.2,0.07073256465993082,258.387109537,True,False
72,380.0,409,42114,0.2,0.08682471936495573,261.0004707410003,True,False
73,1120.0,726,42840,0.2,0.073290993712822,265.5475881990001,True,False
74,170.0,309,43149,0.2,0.06418013977878667,267.5114340119999,True,False
75,250.0,376,43525,0.2,0.09381068946714415,269.9370333669999,True,False
76,760.0,641,44166,0.2,0.07962255134480074,275.66593886500004,True,False
77,240.0,379,44545,0.2,0.06846637544467261,278.249324331,True,False
78,340.0,471,45016,0.2,0.057355688679647646,281.4782540179999,True,False
79,840.0,765,45781,0.2,0.06539699926250736,286.6141787209999,True,False
80,710.0,628,46409,0.2,0.07819570600986481,290.84616911800003,True,False
81,270.0,440,46849,0.2,0.07566371567716652,293.8347483100001,True,False
82,340.0,389,47238,0.2,0.08130798472053151,296.46561555300013,True,False
83,1000.0,560,47798,0.2,0.07050783214425402,300.2143622389999,True,False
84,430.0,523,48321,0.2,0.07719073276469157,303.7621170770003,True,False
85,490.0,548,48869,0.2,0.0694158148550748,307.4362158869999,True,False
86,2120.0,661,49530,0.2,0.0933247305622155,311.8676618029999,True,False
87,430.0,618,50148,0.2,0.08377193414095428,316.0727423120002,True,False
88,780.0,779,50927,0.2,0.08476932027338784,321.2593015719999,True,False
89,1330.0,591,51518,0.2,0.07989503059070557,325.2396391840002,True,False
90,640.0,573,52091,0.2,0.08910120900564052,329.15591292,True,False
91,530.0,506,52597,0.2,0.08828717224505239,332.5871278550003,True,False
92,290.0,403,53000,0.2,0.08716397029854873,335.377193539,True,False
93,700.0,690,53690,0.2,0.09516660807394357,339.9762035439999,True,False
94,350.0,371,54061,0.2,0.06896562802214776,342.4961378840003,True,False
95,1010.0,854,54915,0.2,0.07496650653624548,348.17006018500024,True,False
96,470.0,517,55432,0.2,0.08074067852531489,351.637400567,True,False
97,790.0,517,55949,0.2,0.08654588896261398,355.10207297099987,True,False
98,390.0,688,56637,0.2,0.07790539731531469,359.7688201619999,True,False
99,550.0,433,57070,0.2,0.07860058519765045,362.70845433600016,True,False
100,430.0,459,57529,0.2,0.08083749477468107,365.80558415099995,True,False
