episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.39726979500005655,True,False
2,400.0,712,1097,0.2,0.026491171224042775,1.5713790840000001,True,False
3,1050.0,708,1805,0.2,0.030459788040913073,5.878875820000076,True,False
4,560.0,514,2319,0.2,0.03571473314286777,9.018742468000028,True,False
5,800.0,627,2946,0.2,0.04151251681955757,12.900934851000102,True,False
6,430.0,478,3424,0.2,0.03688706422011213,15.839709470999878,True,False
7,380.0,508,3932,0.2,0.03931271151720187,18.929476883000007,True,False
8,520.0,661,4593,0.2,0.03726860801336553,22.94090865699991,True,False
9,530.0,527,5120,0.2,0.03934512345233199,26.166762900000094,True,False
10,330.0,458,5578,0.2,0.040314277926084115,28.966383079000025,True,False
11,640.0,637,6215,0.2,0.043435593270374544,32.78299671500008,True,False
12,4430.0,1377,7592,0.2,0.036902798867811434,41.347260331999905,True,False
13,460.0,610,8202,0.2,0.034135971678647604,45.1458378100001,True,False
14,900.0,854,9056,0.2,0.0332424943057916,50.447140495999975,True,False
15,650.0,628,9684,0.2,0.03442859459686194,54.31357747900006,True,False
16,180.0,363,10047,0.2,0.03413291953814526,56.5499252919999,True,False
17,610.0,602,10649,0.2,0.03326378323504738,60.173189071000024,True,False
18,220.0,436,11085,0.2,0.04109726910299938,62.816711023999915,True,False
19,1440.0,883,11968,0.2,0.03656395325517257,68.12796520000006,True,False
20,360.0,387,12355,0.2,0.03534951289960494,70.50758926899994,True,False
21,370.0,441,12796,0.2,0.04218746049262516,73.23291064699993,True,False
22,400.0,555,13351,0.2,0.039008701959138976,76.61399453700005,True,False
23,320.0,369,13720,0.2,0.04219516265576565,78.93949081899996,True,False
24,1350.0,786,14506,0.2,0.0449240382306981,83.71889790599994,True,False
25,630.0,714,15220,0.2,0.04181404243088093,88.12115019599992,True,False
26,360.0,641,15861,0.2,0.03726209319429472,93.27550967000002,True,False
27,400.0,524,16385,0.2,0.04122121809299267,96.44487090300004,True,False
28,570.0,586,16971,0.2,0.035912082144633345,100.00890709100008,True,False
