episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3920075249998263,True,False
2,800.0,936,1321,0.4,21.400141426704156,2.948468567999953,True,False
3,390.0,612,1933,0.4,0.9272110093068453,6.829791508999733,True,False
4,500.0,634,2567,0.4,0.6910541737570038,11.227102976999959,True,False
5,240.0,329,2896,0.4,0.33438308528029775,13.323889737999707,True,False
6,420.0,502,3398,0.4,0.6317103200554848,16.47650989399972,True,False
7,310.0,362,3760,0.4,0.49571039453967586,18.82413759899964,True,False
8,230.0,401,4161,0.4,0.4659619641304016,21.377635391999775,True,False
9,680.0,651,4812,0.4,0.5517837928573778,25.469476389999727,True,False
10,420.0,488,5300,0.4,0.3278927921210645,28.551855539999906,True,False
11,310.0,523,5823,0.4,0.7520922855688975,31.835144657,True,False
12,320.0,389,6212,0.4,0.25106706934011713,34.29025284599993,True,False
13,250.0,382,6594,0.4,0.39245038593285964,36.737569554999936,True,False
14,780.0,930,7524,0.4,0.417078726888982,42.48740300099962,True,False
15,220.0,440,7964,0.4,0.3898503951728344,45.254810559999896,True,False
16,180.0,267,8231,0.4,0.37390778089563054,46.96562336399984,True,False
17,160.0,298,8529,0.4,0.424219749768575,48.88033489600002,True,False
18,700.0,688,9217,0.4,0.4065742054845878,53.15855796300002,True,False
19,460.0,673,9890,0.4,0.3276618524188442,57.3568642539999,True,False
20,480.0,537,10427,0.4,0.3831211541042621,60.74717411499978,True,False
21,1010.0,563,10990,0.4,0.6490044198560376,64.28801573700002,True,False
22,270.0,407,11397,0.4,1.052699035143151,66.86658630699958,True,False
23,460.0,527,11924,0.4,0.6592409102189721,70.1525211549997,True,False
24,200.0,388,12312,0.4,0.3342438658949026,72.60726266399979,True,False
25,410.0,494,12806,0.4,0.2971965105431836,75.66762367499996,True,False
26,690.0,639,13445,0.4,0.3753657662309706,81.07283423199988,True,False
27,750.0,680,14125,0.4,0.4291306304581025,85.33458636899968,True,False
28,360.0,460,14585,0.4,0.3138870293679445,88.24333987,True,False
