episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.38818630299920187,True,False
2,410.0,714,1099,0.4,0.023136134538799525,1.5948536500000046,True,False
3,370.0,670,1769,0.4,0.02562601797225874,5.929839929999616,True,False
4,2530.0,924,2693,0.4,0.026513286539931978,11.864158679999491,True,False
5,570.0,575,3268,0.4,0.03240206328983833,15.525510435999422,True,False
6,1340.0,718,3986,0.4,0.0337514383243605,19.87939886499953,True,False
7,230.0,376,4362,0.4,0.028568954189664663,22.17464946599921,True,False
8,310.0,435,4797,0.4,0.03418154636218529,24.839695312000003,True,False
9,1020.0,663,5460,0.4,0.03349456969923508,29.1771725109993,True,False
10,560.0,682,6142,0.4,0.036044939514249565,33.29229467599998,True,False
11,210.0,371,6513,0.4,0.037191639068506414,35.59139926699936,True,False
12,430.0,457,6970,0.4,0.036317247588988064,38.36313274599979,True,False
13,690.0,714,7684,0.4,0.03801244623990282,42.6976392659999,True,False
14,320.0,434,8118,0.4,0.039389938425436546,45.362391321999894,True,False
15,510.0,626,8744,0.4,0.04020281464149167,49.183968786999685,True,False
16,260.0,469,9213,0.4,0.03520909296925793,52.06124310799987,True,False
17,610.0,570,9783,0.4,0.03845036154593223,55.50146355999914,True,False
18,300.0,464,10247,0.4,0.03954740409369998,58.33900427299977,True,False
19,250.0,341,10588,0.4,0.03531065833928107,60.4583656169998,True,False
20,310.0,421,11009,0.4,0.0374130906337606,63.0514356069998,True,False
21,460.0,483,11492,0.4,0.04274330055725969,65.99786376299926,True,False
22,920.0,753,12245,0.4,0.04284776346460777,70.4974339119999,True,False
23,300.0,375,12620,0.4,0.04485687388087365,72.82281622099981,True,False
24,960.0,754,13374,0.4,0.04363135836939228,77.31143304899979,True,False
25,470.0,626,14000,0.4,0.04028647813566361,81.05850447799912,True,False
26,320.0,475,14475,0.4,0.04971892998743234,85.50776045799921,True,False
27,490.0,826,15301,0.4,0.045032649229006204,90.47588916399945,True,False
28,1090.0,842,16143,0.4,0.03943843593421791,95.54248598399954,True,False
29,250.0,400,16543,0.4,0.048128712140023705,98.01344630299991,True,False
30,370.0,489,17032,0.4,0.04483349775759185,101.03794691299936,True,False
31,1110.0,916,17948,0.4,0.04554959568378056,106.63229766599943,True,False
32,440.0,555,18503,0.4,0.04813997570992164,110.02746415099955,True,False
33,310.0,450,18953,0.4,0.046242813666276965,112.86044446599954,True,False
34,460.0,515,19468,0.4,0.04593612975982386,116.11136889099998,True,False
35,290.0,380,19848,0.4,0.04978388316537204,118.51889951399971,True,False
36,760.0,677,20525,0.4,0.05272681248434902,122.69670486499945,True,False
37,800.0,732,21257,0.4,0.05337797726448523,127.21989214199948,True,False
38,340.0,524,21781,0.4,0.054622589141301074,130.43949787899965,True,False
39,440.0,550,22331,0.4,0.061219470011219926,133.8327731849995,True,False
40,640.0,705,23036,0.4,0.06081706304418839,138.10060395899927,True,False
41,610.0,568,23604,0.4,0.0672992974664019,141.51663868299966,True,False
42,400.0,518,24122,0.4,0.057597007847918096,144.67637982399992,True,False
43,450.0,504,24626,0.4,0.059067715351129806,147.80087339799957,True,False
44,1160.0,652,25278,0.4,0.06436383956186245,151.82981976999963,True,False
45,320.0,397,25675,0.4,0.05760557878988259,154.29900227899998,True,False
46,340.0,426,26101,0.4,0.06111815291517806,156.97825016299976,True,False
47,800.0,703,26804,0.4,0.06978998204100538,161.33327172199915,True,False
48,630.0,559,27363,0.4,0.06712992446456882,164.77805917399928,True,False
49,360.0,424,27787,0.4,0.06382813423274541,167.4459381789993,True,False
50,310.0,499,28286,0.4,0.06755528799444437,170.59229536099974,True,False
51,770.0,739,29025,0.4,0.07760542057756636,176.80484514199998,True,False
52,450.0,672,29697,0.4,0.0644616707993139,180.91447044699999,True,False
53,320.0,480,30177,0.4,0.07226399971016993,183.86801609299982,True,False
54,410.0,441,30618,0.4,0.07638363670557738,186.56915955599925,True,False
55,470.0,606,31224,0.4,0.06523729686465997,190.27486840999973,True,False
56,180.0,380,31604,0.4,0.07110581223509814,192.63164583599973,True,False
57,610.0,695,32299,0.4,0.0719469820574529,196.8314887259994,True,False
58,220.0,313,32612,0.4,0.07087318336921214,198.8029365399998,True,False
59,1330.0,752,33364,0.4,0.070809854571014,203.37239167299958,True,False
60,940.0,1017,34381,0.4,0.07315756397791148,209.47611102099927,True,False
61,510.0,681,35062,0.4,0.06971096340566874,213.60975352499918,True,False
62,970.0,1010,36072,0.4,0.0733678191826631,219.69483429399952,True,False
63,2030.0,738,36810,0.4,0.06567391160997035,224.1611143809996,True,False
64,530.0,553,37363,0.4,0.0787704282750686,227.47730024699922,True,False
65,530.0,629,37992,0.4,0.06961713023365865,231.2396303559999,True,False
66,340.0,430,38422,0.4,0.07333092106001399,233.90247390999957,True,False
67,420.0,488,38910,0.4,0.08246020399430981,236.83214785899963,True,False
68,280.0,572,39482,0.4,0.06836584420757486,240.25849859799928,True,False
69,230.0,411,39893,0.4,0.08797992897916188,242.7740937109993,True,False
70,390.0,479,40372,0.4,0.10200093863531948,245.6730249809998,True,False
71,310.0,515,40887,0.4,0.08314435015199706,248.7474624509996,True,False
72,210.0,399,41286,0.4,0.10100513795390725,251.1612782989996,True,False
73,680.0,548,41834,0.4,0.0887354269732524,254.43882235699948,True,False
74,280.0,417,42251,0.4,0.08216293168684038,257.00299536699913,True,False
75,2420.0,714,42965,0.4,0.09192412659296943,261.2761944669992,True,False
76,290.0,375,43340,0.4,0.09120696382795243,264.75356296299924,True,False
77,430.0,567,43907,0.4,0.10304452708083475,268.2439866179993,True,False
78,280.0,477,44384,0.4,0.10858088739526768,271.168547667,True,False
79,690.0,663,45047,0.4,0.09668259472783768,275.1938764819997,True,False
80,220.0,480,45527,0.4,0.09962018648317704,278.2116075449994,True,False
81,1020.0,850,46377,0.4,0.08704145300801092,283.38059793199955,True,False
82,280.0,409,46786,0.4,0.09391563502596874,285.92017409299933,True,False
83,840.0,568,47354,0.4,0.095401410505333,289.4321349769998,True,False
84,680.0,663,48017,0.4,0.09739689260766089,293.4333313929992,True,False
85,630.0,716,48733,0.4,0.09041270073087022,297.78266044799966,True,False
86,410.0,533,49266,0.4,0.09459913368651965,301.08049562499946,True,False
87,600.0,518,49784,0.4,0.08932673936853042,304.25840775899997,True,False
88,480.0,725,50509,0.4,0.09061540952415427,308.69931747899955,True,False
89,620.0,745,51254,0.4,0.09322231807695922,313.2524328619993,True,False
90,470.0,643,51897,0.4,0.07794285048470363,317.1788940919996,True,False
91,1050.0,894,52791,0.4,0.07279625934686496,322.6572556109995,True,False
92,550.0,517,53308,0.4,0.08514976363915663,325.82764572499946,True,False
93,910.0,750,54058,0.4,0.07430627862399912,330.3630594699998,True,False
94,680.0,767,54825,0.4,0.07402928070708488,335.08875678299955,True,False
95,380.0,512,55337,0.4,0.07258506092330208,338.24226481799997,True,False
96,480.0,545,55882,0.4,0.0833026108893511,341.62124090999987,True,False
97,510.0,513,56395,0.4,0.08164245403168024,344.7771816349996,True,False
98,570.0,514,56909,0.4,0.08358490618682185,347.9578329289998,True,False
99,540.0,907,57816,0.4,0.08431674260646105,353.5337204419993,True,False
100,510.0,665,58481,0.4,0.09015011523726833,357.5935672839996,True,False
