episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3930794560001232,True,False
2,400.0,712,1097,0.2,0.028983959397301078,1.9098560850002286,True,False
3,400.0,486,1583,0.2,0.027401791523982318,5.501773401000264,True,False
4,540.0,576,2159,0.2,0.02795867573230579,9.053843739000058,True,False
5,630.0,603,2762,0.2,0.03209188596549018,12.942923646000054,True,False
6,280.0,384,3146,0.2,0.03293396605295129,15.336388423000244,True,False
7,500.0,478,3624,0.2,0.03404943137720693,18.655505194999932,True,False
8,220.0,301,3925,0.2,0.040810070764273405,20.832902215000104,True,False
9,400.0,433,4358,0.2,0.035045034608898545,23.47699862699983,True,False
10,290.0,476,4834,0.2,0.03991989580671765,26.41903579200016,True,False
11,430.0,387,5221,0.2,0.034893155734045146,28.860743226000068,True,False
12,1130.0,803,6024,0.2,0.03765552422548389,33.780801941999925,True,False
13,460.0,622,6646,0.2,0.04096344414264745,37.56326947600019,True,False
14,630.0,590,7236,0.2,0.042414503438694,41.16919876400016,True,False
15,1120.0,854,8090,0.2,0.04248661236665889,46.428739911999855,True,False
16,690.0,769,8859,0.2,0.039054263238237276,51.187573017999966,True,False
17,470.0,546,9405,0.2,0.03752113184738687,54.70012974300016,True,False
18,760.0,580,9985,0.2,0.037775802884475684,58.326457352000034,True,False
19,450.0,505,10490,0.2,0.038346873589843095,61.48227873699989,True,False
20,1140.0,809,11299,0.2,0.04259678564843546,66.46487062000006,True,False
21,240.0,317,11616,0.2,0.045194288298807804,68.45756655900004,True,False
22,680.0,543,12159,0.2,0.0415526375890261,71.75538040699985,True,False
23,390.0,529,12688,0.2,0.04296489441557262,75.06564908300015,True,False
24,880.0,714,13402,0.2,0.04553519917378631,79.37560447299984,True,False
25,940.0,642,14044,0.2,0.04675038994914673,83.30668249500013,True,False
26,670.0,579,14623,0.2,0.04689012300029086,88.15814918600017,True,False
27,220.0,418,15041,0.2,0.046204092085272784,90.81440790900024,True,False
28,550.0,696,15737,0.2,0.046775113869506606,95.2229507940001,True,False
29,530.0,702,16439,0.2,0.04130252917995676,99.6227608600002,True,False
30,840.0,579,17018,0.2,0.044045414626277216,103.29477592600006,True,False
31,370.0,542,17560,0.2,0.046234650516827756,106.7669967830002,True,False
32,730.0,521,18081,0.2,0.04542013943965475,110.03840726199996,True,False
33,670.0,644,18725,0.2,0.042675107430452656,114.01764647100026,True,False
34,750.0,589,19314,0.2,0.04799751294650087,117.66651329900014,True,False
35,410.0,490,19804,0.2,0.04791826194121949,120.77595643599989,True,False
36,550.0,599,20403,0.2,0.043814356777318535,124.51976254800002,True,False
37,2020.0,602,21005,0.2,0.046325216700464786,128.3412031060002,True,False
38,1610.0,954,21959,0.2,0.050265859137974024,134.15760112299995,True,False
39,1100.0,790,22749,0.2,0.05059125885541429,138.97744073600006,True,False
40,1660.0,891,23640,0.2,0.05391494211043344,144.5638906160002,True,False
41,270.0,448,24088,0.2,0.053522749280091375,147.44479551599989,True,False
42,570.0,546,24634,0.2,0.04758614501727553,150.91503326300017,True,False
43,470.0,608,25242,0.2,0.051406957751360574,154.8339124160002,True,False
44,680.0,754,25996,0.2,0.04970009162006949,159.65063586799988,True,False
45,820.0,795,26791,0.2,0.05155003114575238,164.71862485700012,True,False
46,350.0,442,27233,0.2,0.04980727773147157,167.59403609699984,True,False
47,340.0,643,27876,0.2,0.04822192210212396,171.6910820600001,True,False
48,430.0,511,28387,0.2,0.04700058250134356,174.99874501700015,True,False
49,850.0,670,29057,0.2,0.04407920531541874,179.26591082000004,True,False
50,1550.0,645,29702,0.2,0.047949749466627604,183.366548512,True,False
51,440.0,593,30295,0.2,0.049767603879051936,188.4159351520002,True,False
52,350.0,498,30793,0.2,0.052316687788814306,191.57965498600015,True,False
53,730.0,650,31443,0.2,0.04974279086318235,195.65071248000004,True,False
54,400.0,375,31818,0.2,0.04987106531204537,198.08748002499988,True,False
55,320.0,528,32346,0.2,0.051394064145190925,201.4316852500001,True,False
56,550.0,560,32906,0.2,0.057394713999071555,204.97688388300003,True,False
57,1270.0,703,33609,0.2,0.05183891361031618,209.5210284499999,True,False
58,1220.0,823,34432,0.2,0.052255014562301194,214.86604310400025,True,False
59,470.0,456,34888,0.2,0.052735979908775016,217.8707996170001,True,False
60,1120.0,609,35497,0.2,0.052640261339164635,221.83843718700018,True,False
61,690.0,639,36136,0.2,0.05349538736918476,226.00661093500003,True,False
62,490.0,514,36650,0.2,0.05196248275206017,229.364391179,True,False
63,490.0,780,37430,0.2,0.057086953595997046,234.40235294000013,True,False
64,350.0,463,37893,0.2,0.04720804911981947,237.43523600100025,True,False
65,810.0,761,38654,0.2,0.044713652138843346,242.36043026800007,True,False
66,1170.0,808,39462,0.2,0.052602779120062754,247.58289456800003,True,False
67,560.0,562,40024,0.2,0.043013437510326054,251.26182809400007,True,False
68,1240.0,744,40768,0.2,0.0488098049836774,256.02210865999996,True,False
69,1170.0,791,41559,0.2,0.05206650976791297,261.100234088,True,False
70,360.0,393,41952,0.2,0.04751131676297372,263.6800428350002,True,False
71,1000.0,935,42887,0.2,0.053357734388368036,269.5582470290001,True,False
72,770.0,623,43510,0.2,0.0524372215105149,273.4972193399999,True,False
73,420.0,480,43990,0.2,0.04564893083491673,276.60938892700005,True,False
74,460.0,473,44463,0.2,0.047003219290873255,279.63600228899986,True,False
75,550.0,524,44987,0.2,0.05373518896921901,282.97586054400017,True,False
76,400.0,459,45446,0.2,0.08749094132799655,287.2768281550002,True,False
77,530.0,549,45995,0.2,0.05683134349375746,290.80854524899996,True,False
78,440.0,569,46564,0.2,0.050527019227587885,294.51717075299985,True,False
79,710.0,579,47143,0.2,0.050278618849309474,298.233893007,True,False
80,310.0,386,47529,0.2,0.05689447290820943,300.7664407860002,True,False
81,780.0,568,48097,0.2,0.051969572383595605,304.43651344299997,True,False
82,340.0,453,48550,0.2,0.06089726606882548,307.4031841179999,True,False
83,330.0,376,48926,0.2,0.06758819378793557,309.856989332,True,False
84,500.0,683,49609,0.2,0.06160523200255127,314.2939419059999,True,False
85,550.0,528,50137,0.2,0.05379943399792396,317.7113601860001,True,False
86,630.0,551,50688,0.2,0.05586256324971581,321.2899613469999,True,False
87,330.0,408,51096,0.2,0.04960265013791036,323.95287358999985,True,False
88,400.0,573,51669,0.2,0.05428453510011696,327.62787255500007,True,False
89,700.0,523,52192,0.2,0.05235127532207727,331.02458661699984,True,False
90,350.0,389,52581,0.2,0.05370650123132719,333.54827575699983,True,False
91,810.0,740,53321,0.2,0.054635126592364865,338.32706760200017,True,False
92,920.0,649,53970,0.2,0.05879996657690585,342.5394095679999,True,False
93,430.0,446,54416,0.2,0.060788298125511835,345.44008006700005,True,False
94,450.0,577,54993,0.2,0.05813837993708956,349.13230545199985,True,False
95,270.0,376,55369,0.2,0.06177952046198969,351.5981060250001,True,False
96,650.0,637,56006,0.2,0.0593638319694935,355.70575450700017,True,False
97,1030.0,625,56631,0.2,0.0601778418968957,359.71973322500025,True,False
98,330.0,402,57033,0.2,0.05601278157895523,362.3714039770002,True,False
99,540.0,469,57502,0.2,0.07110495368440628,365.3904833900001,True,False
100,520.0,615,58117,0.2,0.05594681267469347,369.35104937999995,True,False
