episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3824511559998882,True,False
2,850.0,1020,1405,0.2,16.091667542770487,3.3557378819998576,True,False
3,920.0,676,2081,0.2,0.6762387007034036,7.505834664999838,True,False
4,350.0,502,2583,0.2,0.48021220064163206,10.747747643999901,True,False
5,760.0,667,3250,0.2,0.7407828679832513,15.0899820059999,True,False
6,180.0,388,3638,0.2,0.5871412136505559,17.688606315000015,True,False
7,390.0,544,4182,0.2,0.6460261607871336,21.275582363000012,True,False
8,380.0,467,4649,0.2,0.7360968386642953,24.414089589000014,True,False
9,410.0,551,5200,0.2,0.4064126132676999,28.151689387000033,True,False
10,850.0,872,6072,0.2,0.2787108067166778,34.106927857999835,True,False
11,350.0,451,6523,0.2,0.35048923435221824,37.28590119199998,True,False
12,380.0,423,6946,0.2,0.3411134590377223,40.20424253099986,True,False
13,230.0,408,7354,0.2,0.36837104868655113,43.33335668699988,True,False
14,410.0,542,7896,0.2,0.5206105042906368,47.15921445999993,True,False
15,460.0,596,8492,0.2,0.440029074331658,51.35483019100002,True,False
16,730.0,725,9217,0.2,0.30430368396829177,56.39446372899988,True,False
17,960.0,808,10025,0.2,0.37435601702384136,62.151432141999976,True,False
18,280.0,418,10443,0.2,0.2738193267454895,64.94312571899991,True,False
19,260.0,429,10872,0.2,0.27007682655972465,67.87664610799993,True,False
20,380.0,489,11361,0.2,0.24367247677606638,71.15217811499997,True,False
21,310.0,447,11808,0.2,0.2949263483751565,74.13854183299986,True,False
22,290.0,435,12243,0.2,0.2932371715842574,77.04134903599993,True,False
23,510.0,461,12704,0.2,0.2886278579685965,80.18559133400004,True,False
24,350.0,402,13106,0.2,0.19884601453319192,82.89266557999986,True,False
25,400.0,422,13528,0.2,0.2545682888759195,85.76675104499986,True,False
26,180.0,323,13851,0.2,0.3190301893278956,89.31482279800002,True,False
27,360.0,582,14433,0.2,0.26056386561018147,93.0196134119999,True,False
28,330.0,470,14903,0.2,0.27754633001282686,95.99106519099996,True,False
29,270.0,344,15247,0.2,0.25492974364220405,98.21782223599985,True,False
30,310.0,445,15692,0.2,0.24768843029492668,101.11269606899987,True,False
31,260.0,458,16150,0.2,0.20663411858115802,104.02406701199993,True,False
32,320.0,513,16663,0.2,0.36363846546737477,107.30635176199985,True,False
33,410.0,474,17137,0.2,0.3414441740938595,110.36292596599992,True,False
34,420.0,609,17746,0.2,0.41211016952844437,114.24346277899986,True,False
35,730.0,650,18396,0.2,0.26192303473826933,118.40509279599996,True,False
36,1100.0,669,19065,0.2,0.3164125582995172,122.65806267699986,True,False
37,250.0,372,19437,0.2,0.39639805465616207,125.03825684100002,True,False
38,460.0,588,20025,0.2,0.3705880122930825,128.74597541499998,True,False
39,1220.0,636,20661,0.2,0.3359421173918922,132.820874107,True,False
