episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3806177960000241,True,False
2,420.0,712,1097,0.2,0.023563992503331976,1.5913896519999753,True,False
3,690.0,808,1905,0.2,0.026747187506609208,6.954982341999994,True,False
4,170.0,386,2291,0.2,0.024163507280415313,9.576568140000063,True,False
5,200.0,375,2666,0.2,0.025126699169359588,12.164558141000043,True,False
6,870.0,708,3374,0.2,0.025400755472157657,16.851605302000053,True,False
7,280.0,522,3896,0.2,0.026046484068946073,20.107148331000076,True,False
8,410.0,523,4419,0.2,0.027655371812691624,23.31204806400001,True,False
9,1880.0,1017,5436,0.2,0.02821097476385059,30.219529618000024,True,False
10,370.0,620,6056,0.2,0.02728460501586538,34.40325261099997,True,False
11,460.0,545,6601,0.2,0.031518022999722124,38.090151623999986,True,False
12,650.0,553,7154,0.2,0.035466813385331385,41.91161840799998,True,False
13,1120.0,850,8004,0.2,0.0320267841993818,47.77488350700003,True,False
14,870.0,696,8700,0.2,0.03298659433996112,52.61636291800005,True,False
15,680.0,706,9406,0.2,0.03200878568168264,57.502049252999996,True,False
16,320.0,413,9819,0.2,0.03350569471915804,60.353070467000066,True,False
17,290.0,488,10307,0.2,0.03405459359341652,63.46068716100001,True,False
18,530.0,770,11077,0.2,0.03451881137401483,68.12113527600002,True,False
19,710.0,639,11716,0.2,0.038367496756836775,72.02491333400008,True,False
20,720.0,677,12393,0.2,0.037769562757667706,76.13409548800007,True,False
21,160.0,425,12818,0.2,0.03492292989800983,78.74809764500003,True,False
22,1420.0,859,13677,0.2,0.03612460922449827,83.99424948000001,True,False
23,830.0,747,14424,0.2,0.039004391066749945,88.52033511399998,True,False
24,580.0,590,15014,0.2,0.039159579050480106,92.12931474200002,True,False
25,680.0,640,15654,0.2,0.043374975546612404,96.07580159700001,True,False
26,860.0,617,16271,0.2,0.044089237010324155,101.21200569899997,True,False
27,860.0,934,17205,0.2,0.044587155821948096,106.82106807800005,True,False
28,1490.0,1166,18371,0.2,0.04966965087775871,113.71809280700006,True,False
29,650.0,604,18975,0.2,0.04387854854422097,117.362450083,True,False
30,710.0,637,19612,0.2,0.04986731800599955,121.18143263700006,True,False
31,640.0,560,20172,0.2,0.046670418342442385,124.57904457000006,True,False
32,1920.0,1135,21307,0.2,0.05045254429631172,131.436364088,True,False
33,420.0,476,21783,0.2,0.04712577595790269,134.35133917400003,True,False
34,510.0,471,22254,0.2,0.05028712517439814,137.25596030999998,True,False
35,920.0,750,23004,0.2,0.0475219503649451,141.79582216200004,True,False
36,590.0,561,23565,0.2,0.05499731741313423,145.185900372,True,False
37,1180.0,814,24379,0.2,0.06115244228044167,150.07313585300005,True,False
38,570.0,556,24935,0.2,0.05831789638069894,153.42265774500004,True,False
39,850.0,672,25607,0.2,0.056125185787788634,157.499527402,True,False
40,500.0,439,26046,0.2,0.05815021822398359,160.24814012299998,True,False
41,370.0,470,26516,0.2,0.06454568074511016,163.172874428,True,False
42,530.0,648,27164,0.2,0.05921477688775386,167.185255408,True,False
43,860.0,604,27768,0.2,0.058139133507644894,170.94811669600006,True,False
44,930.0,690,28458,0.2,0.06253943931809518,175.119844961,True,False
45,110.0,241,28699,0.2,0.06614119939816494,176.640074411,True,False
46,760.0,704,29403,0.2,0.08026029614583505,180.88995487299997,True,False
47,840.0,615,30018,0.2,0.0767612242164066,184.67185337,True,False
48,2220.0,735,30753,0.2,0.07332676314526117,189.15915340499998,True,False
49,440.0,448,31201,0.2,0.06589592877675646,191.93590390100007,True,False
50,540.0,537,31738,0.2,0.07829345844741632,195.30751205500007,True,False
51,1510.0,1013,32751,0.2,0.08566602225610508,202.996915661,True,False
52,600.0,668,33419,0.2,0.08311302217091629,207.11172458,True,False
53,810.0,576,33995,0.2,0.07977390639522734,210.67137987800004,True,False
54,1340.0,979,34974,0.2,0.071867446411325,216.77644247900002,True,False
55,680.0,656,35630,0.2,0.07530603918996526,220.81980282000006,True,False
56,470.0,404,36034,0.2,0.08432410613144978,223.39643253200006,True,False
57,760.0,637,36671,0.2,0.08241266266401834,227.325026557,True,False
58,860.0,733,37404,0.2,0.07739157571821757,231.86086481100006,True,False
59,430.0,406,37810,0.2,0.06955951337914655,234.37693842500005,True,False
60,580.0,543,38353,0.2,0.08471515390556306,237.77624561900006,True,False
61,400.0,407,38760,0.2,0.09248060871865235,240.34473156,True,False
62,470.0,464,39224,0.2,0.08671876367438457,243.22501643200007,True,False
63,400.0,472,39696,0.2,0.08815704267945583,246.16999346,True,False
64,380.0,589,40285,0.2,0.09868590619262992,249.85070479399997,True,False
65,800.0,865,41150,0.2,0.1019007973200469,255.137805845,True,False
66,500.0,478,41628,0.2,0.08887413965227703,258.19595368700004,True,False
67,370.0,536,42164,0.2,0.0990639301433937,261.56832889,True,False
68,950.0,752,42916,0.2,0.09101961450552211,266.236430131,True,False
69,330.0,425,43341,0.2,0.09284973803485902,268.948897695,True,False
70,180.0,305,43646,0.2,0.08765339547474134,270.899389703,True,False
71,700.0,747,44393,0.2,0.07410517696510344,276.00099359,True,False
72,650.0,531,44924,0.2,0.09122978633311682,279.76672916100006,True,False
73,290.0,416,45340,0.2,0.08801311901949632,282.41399299600005,True,False
74,350.0,503,45843,0.2,0.08655612629279494,285.625419504,True,False
75,770.0,664,46507,0.2,0.0938011796875711,289.8092555310001,True,False
76,1960.0,637,47144,0.2,0.09386325782979839,295.779298671,True,False
77,750.0,565,47709,0.2,0.09895253676841868,299.6833305670001,True,False
78,970.0,715,48424,0.2,0.10528456063306364,304.55173768099996,True,False
79,560.0,761,49185,0.2,0.08884808301533523,309.6784043880001,True,False
80,440.0,442,49627,0.2,0.10413343554193323,312.89609578600005,True,False
81,740.0,652,50279,0.2,0.10000083600085206,317.291859716,True,False
82,180.0,285,50564,0.2,0.09161611877950943,319.30997023199996,True,False
83,780.0,704,51268,0.2,0.0806466398644261,324.14235681799994,True,False
84,450.0,575,51843,0.2,0.08661309185509498,328.09949616200004,True,False
85,970.0,888,52731,0.2,0.10658765955081394,334.1460136700001,True,False
86,370.0,429,53160,0.2,0.0875712159279458,337.1256482550001,True,False
87,1230.0,746,53906,0.2,0.11229374069440108,342.199066043,True,False
